t,u,pred_p_x,pred_p_y,pred_p_z,pred_v_x,pred_v_y,pred_v_z,p_x,p_y,p_z,v_x,v_y,v_z
0.498,0,-1.65966,0,54.3249,-0.834717,0,-0.0274658,-2.12409,0,54.3108,0.113947,0,0.00545276
0.5,0,-1.66001,0,54.3249,-0.856506,0,-0.0282593,-2.12409,0,54.3108,0.113453,0,0.00541643
0.502,0,-1.66039,0,54.3249,-0.873047,0,-0.0288696,-2.12409,0,54.3108,0.112956,0,0.00540624
0.504,0,-1.66081,0,54.3249,-0.884399,0,-0.0294189,-2.12409,0,54.3108,0.112469,0,0.00537206
0.506,0,-1.66124,0,54.3249,-0.890442,0,-0.0297852,-2.12409,0,54.3108,0.112002,0,0.00536068
0.508,0,-1.66169,0,54.3248,-0.891174,0,-0.0300293,-2.12409,0,54.3108,0.111566,0,0.00533223
0.51,0,-1.66212,0,54.3248,-0.887024,0,-0.0302734,-2.12409,0,54.3108,0.111169,0,0.00532018
0.512,0,-1.66255,0,54.3248,-0.878113,0,-0.0303955,-2.12409,0,54.3108,0.11082,0,0.00530019
0.514,0,-1.66295,0,54.3248,-0.865051,0,-0.0303345,-2.1241,0,54.3108,0.110524,0,0.00528804
0.516,0,-1.66332,0,54.3248,-0.848206,0,-0.0300903,-2.1241,0,54.3108,0.110286,0,0.00527815
0.518,0,-1.66366,0,54.3248,-0.828125,0,-0.0299072,-2.12411,0,54.3108,0.110109,0,0.00526654
0.52,0,-1.66395,0,54.3248,-0.80542,0,-0.029541,-2.12411,0,54.3108,0.109995,0,0.00526715
0.522,0,-1.66419,0,54.3248,-0.780823,0,-0.0291748,-2.12411,0,54.3108,0.109942,0,0.0052568
0.524,0,-1.66438,0,54.3248,-0.754944,0,-0.0286865,-2.12412,0,54.3108,0.10995,0,0.00526709
0.526,0,-1.66452,0,54.3248,-0.728516,0,-0.0281372,-2.12412,0,54.3108,0.110015,0,0.00525876
0.528,0,-1.6646,0,54.3248,-0.701965,0,-0.0275879,-2.12413,0,54.3108,0.110133,0,0.00527689
0.53,0,-1.66462,0,54.3249,-0.676208,0,-0.0270386,-2.12413,0,54.3108,0.1103,0,0.00527129
0.532,0,-1.6646,0,54.3249,-0.65155,0,-0.0264893,-2.12414,0,54.3108,0.110508,0,0.00529461
0.534,0,-1.66452,0,54.3249,-0.628662,0,-0.0258789,-2.12414,0,54.3108,0.110752,0,0.00529237
0.536,0,-1.6644,0,54.3249,-0.607971,0,-0.0253296,-2.12414,0,54.3108,0.111022,0,0.00531782
0.538,0,-1.66423,0,54.3249,-0.589844,0,-0.0249023,-2.12415,0,54.3108,0.111313,0,0.00531937
0.54,0,-1.66404,0,54.3249,-0.574646,0,-0.024353,-2.12415,0,54.3108,0.111614,0,0.00534383
0.542,0,-1.66381,0,54.3249,-0.562439,0,-0.0239868,-2.12415,0,54.3108,0.111921,0,0.00534928
0.544,0,-1.66356,0,54.325,-0.553528,0,-0.0236206,-2.12415,0,54.3108,0.112224,0,0.00536996
0.546,0,-1.6633,0,54.325,-0.548096,0,-0.0233154,-2.12415,0,54.3108,0.112517,0,0.00537908
0.548,0,-1.66303,0,54.325,-0.545715,0,-0.0230713,-2.12415,0,54.3108,0.112793,0,0.00539381
0.55,0,-1.66275,0,54.325,-0.546631,0,-0.0228882,-2.12415,0,54.3108,0.113047,0,0.00540599
0.552,0,-1.66248,0,54.325,-0.550537,0,-0.0228271,-2.12415,0,54.3108,0.113273,0,0.00541345
0.554,0,-1.66222,0,54.325,-0.55719,0,-0.0228271,-2.12414,0,54.3108,0.113467,0,0.00542771
0.556,0,-1.66198,0,54.325,-0.566406,0,-0.0228882,-2.12414,0,54.3108,0.113627,0,0.00542755
0.558,0,-1.66175,0,54.325,-0.577881,0,-0.0230103,-2.12414,0,54.3108,0.113749,0,0.00544259
0.56,0,-1.66156,0,54.325,-0.591125,0,-0.0231934,-2.12414,0,54.3108,0.113834,0,0.0054354
0.562,0,-1.66139,0,54.325,-0.605835,0,-0.0234375,-2.12413,0,54.3108,0.113879,0,0.00544978
0.564,0,-1.66125,0,54.325,-0.621643,0,-0.0236816,-2.12413,0,54.3108,0.113888,0,0.00543699
0.566,0,-1.66115,0,54.325,-0.638,0,-0.0240479,-2.12413,0,54.3108,0.11386,0,0.00544919
0.568,0,-1.66108,0,54.325,-0.65448,0,-0.024353,-2.12413,0,54.3108,0.113799,0,0.00543282
0.57,0,-1.66105,0,54.325,-0.670898,0,-0.0245972,-2.12412,0,54.3108,0.113706,0,0.00544151
0.572,0,-1.66104,0,54.325,-0.686646,0,-0.0250244,-2.12412,0,54.3108,0.113587,0,0.00542388
0.574,0,-1.66108,0,54.325,-0.701538,0,-0.0253906,-2.12412,0,54.3108,0.113443,0,0.005428
0.576,0,-1.66113,0,54.325,-0.715332,0,-0.0256958,-2.12412,0,54.3108,0.113283,0,0.00541147
0.578,0,-1.66122,0,54.3249,-0.7276,0,-0.026123,-2.12411,0,54.3108,0.113107,0,0.00541043
0.58,0,-1.66133,0,54.3249,-0.738037,0,-0.0263672,-2.12411,0,54.3108,0.112923,0,0.00539706
0.582,0,-1.66146,0,54.3249,-0.746643,0,-0.0266724,-2.12411,0,54.3108,0.112735,0,0.00539082
0.584,0,-1.66162,0,54.3249,-0.75354,0,-0.0269165,-2.12411,0,54.3108,0.112547,0,0.00538212
0.586,0,-1.66177,0,54.3249,-0.757996,0,-0.0270996,-2.12411,0,54.3108,0.112363,0,0.0053712
0.588,0,-1.66194,0,54.3249,-0.76062,0,-0.0273438,-2.12411,0,54.3108,0.112189,0,0.005368
0.59,0,-1.66211,0,54.3249,-0.761108,0,-0.0274658,-2.12411,0,54.3108,0.112028,0,0.00535349
0.592,0,-1.66228,0,54.3249,-0.759705,0,-0.0274658,-2.12411,0,54.3108,0.111882,0,0.00535582
0.594,0,-1.66245,0,54.3249,-0.75647,0,-0.0275269,-2.12411,0,54.3108,0.111755,0,0.00533926
0.596,0,-1.66261,0,54.3249,-0.751587,0,-0.0274658,-2.12412,0,54.3108,0.111649,0,0.00534642
0.598,0,-1.66275,0,54.3249,-0.745117,0,-0.0274658,-2.12412,0,54.3108,0.111566,0,0.00532961
0.6,0,-1.66288,0,54.3249,-0.737488,0,-0.0273438,-2.12412,0,54.3108,0.111504,0,0.00534031
0.602,0,-1.663,0,54.3249,-0.728821,0,-0.0272217,-2.12412,0,54.3108,0.111468,0,0.00532513
0.604,0,-1.66309,0,54.3249,-0.719299,0,-0.0270996,-2.12412,0,54.3108,0.111454,0,0.00533764
0.606,0,-1.66317,0,54.3249,-0.709351,0,-0.0269165,-2.12412,0,54.3108,0.111464,0,0.00532584
0.608,0,-1.66323,0,54.3249,-0.699097,0,-0.0266724,-2.12413,0,54.3108,0.111495,0,0.00533831
0.61,0,-1.66326,0,54.3249,-0.68866,0,-0.0264893,-2.12413,0,54.3108,0.111546,0,0.00533125
0.612,0,-1.66328,0,54.3249,-0.678711,0,-0.0262451,-2.12413,0,54.3108,0.111613,0,0.0053419
0.614,0,-1.66327,0,54.3249,-0.669067,0,-0.026001,-2.12413,0,54.3108,0.111697,0,0.00534044
0.616,0,-1.66323,0,54.3249,-0.660095,0,-0.0258179,-2.12413,0,54.3108,0.111792,0,0.00534785
0.618,0,-1.66319,0,54.3249,-0.651855,0,-0.0255737,-2.12413,0,54.3108,0.111897,0,0.00535219
0.62,0,-1.66313,0,54.3249,-0.644775,0,-0.0253296,-2.12413,0,54.3108,0.112009,0,0.00535544
0.622,0,-1.66306,0,54.3249,-0.638672,0,-0.0252075,-2.12413,0,54.3108,0.112125,0,0.0053651
0.624,0,-1.66297,0,54.3249,-0.63385,0,-0.0250244,-2.12414,0,54.3108,0.112241,0,0.0053639
0.626,0,-1.66288,0,54.3249,-0.630188,0,-0.0249023,-2.12414,0,54.3108,0.112355,0,0.00537778
0.628,0,-1.66277,0,54.3249,-0.62793,0,-0.0248413,-2.12414,0,54.3108,0.112465,0,0.0053725
0.63,0,-1.66267,0,54.325,-0.626831,0,-0.0247192,-2.12414,0,54.3108,0.112567,0,0.00538897
0.632,0,-1.66256,0,54.325,-0.627136,0,-0.0245972,-2.12413,0,54.3108,0.112661,0,0.00538053
0.634,0,-1.66245,0,54.325,-0.62854,0,-0.0245361,-2.12413,0,54.3108,0.112743,0,0.00539766
0.636,0,-1.66235,0,54.325,-0.630981,0,-0.0245972,-2.12413,0,54.3108,0.112814,0,0.00538741
0.638,0,-1.66226,0,54.325,-0.634521,0,-0.0245361,-2.12413,0,54.3108,0.11287,0,0.00540317
0.64,0,-1.66217,0,54.325,-0.638794,0,-0.0245972,-2.12413,0,54.3108,0.112913,0,0.0053927
0.642,0,-1.66209,0,54.325,-0.64386,0,-0.0247192,-2.12413,0,54.3108,0.11294,0,0.00540523
0.644,0,-1.66203,0,54.325,-0.649536,0,-0.0247803,-2.12413,0,54.3108,0.112954,0,0.0053961
0.646,0,-1.66197,0,54.325,-0.655518,0,-0.0249023,-2.12413,0,54.3108,0.112952,0,0.00540391
0.648,0,-1.66193,0,54.325,-0.661926,0,-0.0250244,-2.12413,0,54.3108,0.112938,0,0.00539748
0.65,0,-1.6619,0,54.325,-0.668396,0,-0.0251465,-2.12413,0,54.3108,0.112911,0,0.00539967
0.652,0,-1.66188,0,54.3249,-0.674744,0,-0.0252686,-2.12412,0,54.3108,0.112873,0,0.00539686
0.654,0,-1.66188,0,54.3249,-0.680969,0,-0.0253906,-2.12412,0,54.3108,0.112825,0,0.00539321
0.656,0,-1.66189,0,54.3249,-0.686829,0,-0.0255737,-2.12412,0,54.3108,0.112769,0,0.00539441
0.658,0,-1.66191,0,54.3249,-0.6922,0,-0.0256348,-2.12412,0,54.3108,0.112706,0,0.0053854
0.66,0,-1.66195,0,54.3249,-0.69696,0,-0.0258179,-2.12412,0,54.3108,0.112638,0,0.00539043
0.662,0,-1.66199,0,54.3249,-0.701111,0,-0.026001,-2.12412,0,54.3108,0.112568,0,0.00537721
